00007ff80031bd5e (__TEXT,__text) external ___memccpy_chk
00007ff8002a5270 (__TEXT,__text) external ___memcpy_chk
00007ff8002a5c42 (__TEXT,__text) external ___memmove_chk
00007ff8002adc51 (__TEXT,__text) external ___memset_chk
00007ff8002c3ff7 (__TEXT,__text) non-external (was a private external) ___messages_load_locale
00007ff841d59ef8 (__DATA,__bss) non-external ___messages_load_locale.cache
                 (undefined) external ___mkdir_extended (from libsystem_kernel)
                 (undefined) external ___mkfifo_extended (from libsystem_kernel)
00007ff8002c3349 (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
00007ff841d59f08 (__DATA,__bss) non-external ___monetary_load_locale.cache
00007ff8002b02e3 (__TEXT,__text) external ___mult_D2A
00007ff8002b0111 (__TEXT,__text) external ___multadd_D2A
00007ff8002fa294 (__TEXT,__text) non-external ___nls_free_resources
00007ff8003208d1 (__TEXT,__const) non-external ___nogrouping
00007ff8002b295a (__TEXT,__text) external ___nrv_alloc_D2A
00007ff8002dd92c (__TEXT,__text) non-external (was a private external) ___numeric_ctype
00007ff8002c3b04 (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
00007ff841d59f18 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_extended (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
00007ff8002c25e8 (__TEXT,__text) non-external (was a private external) ___open_path_locale
00007ff800318b5f (__TEXT,__text) external ___opendir2
00007ff8002a481f (__TEXT,__text) external ___opendir2$INODE64
00007ff8002a5c54 (__TEXT,__text) non-external ___opendir_common
00007ff800318c42 (__TEXT,__text) non-external ___opendir_common
                 (undefined) external ___os_log_simple_offset (from libsystem_platform)
00007ff8002e3526 (__TEXT,__text) external ___ovfl_delete
00007ff8002e335f (__TEXT,__text) external ___ovfl_get
00007ff8002e3434 (__TEXT,__text) external ___ovfl_put
00007ff8002b2862 (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
00007ff843ad0838 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.bsiz
00007ff843ad0830 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
00007ff843aced88 (__DATA_DIRTY,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
00007ff8002c382c (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
