000000020c054488 (__TEXT,__text) external _AEAAuthDataGetEncodedSize
000000020c053bd8 (__TEXT,__text) external _AEAAuthDataGetEntry
000000020c053bd0 (__TEXT,__text) external _AEAAuthDataGetEntryCount
000000020c05438c (__TEXT,__text) external _AEAAuthDataRemoveEntry
000000020c054084 (__TEXT,__text) external _AEAAuthDataSetEntry
000000020c089dec (__TEXT,__text) external _AEAContextCreateWithEncryptedStream
000000020c089d24 (__TEXT,__text) external _AEAContextCreateWithProfile
000000020c068350 (__TEXT,__text) external _AEAContextDecryptAttributes
000000020c089c8c (__TEXT,__text) external _AEAContextDestroy
000000020c08a990 (__TEXT,__text) external _AEAContextGenerateFieldBlob
000000020c08ab40 (__TEXT,__text) external _AEAContextGetContainerSizeUpperBound
000000020c08a1c0 (__TEXT,__text) external _AEAContextGetFieldBlob
000000020c08a0cc (__TEXT,__text) external _AEAContextGetFieldUInt
000000020c08a624 (__TEXT,__text) external _AEAContextSetFieldBlob
000000020c08aacc (__TEXT,__text) external _AEAContextSetFieldCallback
000000020c08a42c (__TEXT,__text) external _AEAContextSetFieldUInt
000000020c05a520 (__TEXT,__text) non-external _AEADDecrypt_AESCTR_MAC256_KEY640
000000020c05a0a4 (__TEXT,__text) non-external _AEADDecrypt_None_MAC256_KEY256
000000020c05a144 (__TEXT,__text) non-external _AEADEncrypt_AESCTR_MAC256_KEY640
000000020c059ff0 (__TEXT,__text) non-external _AEADEncrypt_None_MAC256_KEY256
000000020c051530 (__TEXT,__text) external _AEADecryptAndExtract
000000020c091218 (__TEXT,__text) external _AEADecryptAndExtractAsyncStreamOpen
000000020c050fe8 (__TEXT,__text) external _AEADecryptAndExtractChunk
000000020c092a60 (__TEXT,__text) external _AEADecryptAndExtractChunkAsyncStreamOpen
000000020c049b4c (__TEXT,__text) external _AEADecryptAsyncStreamOpen
000000020c064338 (__TEXT,__text) external _AEADecryptInPlace
000000020c06a848 (__TEXT,__text) external _AEADecryptToFile
000000020c08530c (__TEXT,__text) external _AEADecryptToFileAsyncStreamOpen
000000020c06a2e8 (__TEXT,__text) external _AEADecryptToFileChunk
000000020c085f6c (__TEXT,__text) external _AEADecryptToFileChunkAsyncStreamOpen
000000020c0bec9c (__TEXT,__text) external _AEADecryptToStream
000000020c0be458 (__TEXT,__text) external _AEADecryptToStreamChunk
000000020c066030 (__TEXT,__text) external _AEADecryptionDirectRandomAccessInputStreamOpen
000000020c05bbfc (__TEXT,__text) external _AEADecryptionInputStreamOpen
000000020c04ef34 (__TEXT,__text) external _AEADecryptionRandomAccessInputStreamOpen
000000020c0648e0 (__TEXT,__text) external _AEAEncryptInPlace
000000020c05f81c (__TEXT,__text) external _AEAEncryptionOutputStreamCloseAndUpdateContext
000000020c05ebc0 (__TEXT,__text) external _AEAEncryptionOutputStreamOpen
000000020c05f184 (__TEXT,__text) external _AEAEncryptionOutputStreamOpenExisting
000000020c064aac (__TEXT,__text) external _AEAKeychainGenerateItem
000000020c0653e4 (__TEXT,__text) external _AEAKeychainHasItem
000000020c065220 (__TEXT,__text) external _AEAKeychainLoadItem
000000020c0654fc (__TEXT,__text) external _AEAKeychainRemoveItem
000000020c064d5c (__TEXT,__text) external _AEAKeychainStoreItem
000000020c057678 (__TEXT,__text) external _AEAStreamSign
000000020c088224 (__TEXT,__text) non-external (was a private external) _BXDiff5
000000020c06292c (__TEXT,__text) non-external (was a private external) _BXDiff5GetPatchInfo
000000020c088230 (__TEXT,__text) non-external (was a private external) _BXDiff5WithIndividualPatches
000000020c071064 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesCreate
000000020c07218c (__TEXT,__text) non-external (was a private external) _BXDiffMatchesDestroy
000000020c0721d8 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesGetBestMatch
000000020c072500 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesIBuf
000000020c072508 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesISize
000000020c072510 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesOBuf
000000020c072518 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesOSize
000000020c0634dc (__TEXT,__text) non-external (was a private external) _BXPatch5FileWithFlags
000000020c063798 (__TEXT,__text) non-external (was a private external) _BXPatch5InPlace
000000020c062990 (__TEXT,__text) non-external (was a private external) _BXPatch5StreamWithFlags
000000020c063628 (__TEXT,__text) non-external _BXPatch5WithFlagsFileStreamPRead
                 (undefined) external _BZ2_bzDecompress (from libbz2)
                 (undefined) external _BZ2_bzDecompressEnd (from libbz2)
                 (undefined) external _BZ2_bzDecompressInit (from libbz2)
000000020c06f1d8 (__TEXT,__text) non-external (was a private external) _BlobBufferFree
000000020c06f138 (__TEXT,__text) non-external (was a private external) _BlobBufferIncreaseCapacity
000000020c06f08c (__TEXT,__text) non-external (was a private external) _BlobBufferStore
000000020c066238 (__TEXT,__text) non-external _BlockDecryptionStreamCancel
000000020c0661fc (__TEXT,__text) non-external _BlockDecryptionStreamClose
000000020c06625c (__TEXT,__text) non-external _BlockDecryptionStreamPRead
000000020c0665fc (__TEXT,__text) non-external _BlockDecryptionStreamRead
                 (undefined) external _CCCryptorCreateWithMode (from libSystem)
                 (undefined) external _CCCryptorFinal (from libSystem)
                 (undefined) external _CCCryptorGetOutputLength (from libSystem)
                 (undefined) external _CCCryptorRelease (from libSystem)
                 (undefined) external _CCCryptorUpdate (from libSystem)
                 (undefined) external _CCDeriveKey (from libSystem)
                 (undefined) external _CCHmacFinal (from libSystem)
                 (undefined) external _CCHmacInit (from libSystem)
                 (undefined) external _CCHmacUpdate (from libSystem)
                 (undefined) external _CCKDFParametersCreateHkdf (from libSystem)
                 (undefined) external _CCKDFParametersDestroy (from libSystem)
                 (undefined) external _CCRandomGenerateBytes (from libSystem)
000000020c07a114 (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Final
000000020c07a0b4 (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Init
000000020c07a0c4 (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Update
000000020c07c214 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Final
000000020c07c20c (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Init
000000020c07c210 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Update
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CC_SHA384_Final (from libSystem)
                 (undefined) external _CC_SHA384_Init (from libSystem)
                 (undefined) external _CC_SHA384_Update (from libSystem)
                 (undefined) external _CC_SHA512_Final (from libSystem)
                 (undefined) external _CC_SHA512_Init (from libSystem)
                 (undefined) external _CC_SHA512_Update (from libSystem)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFErrorCopyDescription (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
000000020c0d2d3c (__TEXT,__const) non-external _CKSUMTable
000000020c0b8000 (__TEXT,__text) non-external _CompressionConsumerProc
000000020c0b7e3c (__TEXT,__text) non-external _CompressionWorkerDataCreate
000000020c0b8d60 (__TEXT,__text) non-external _CompressionWorkerDataDestroy
000000020c0b7f68 (__TEXT,__text) non-external _CompressionWorkerProc
000000020c05ae70 (__TEXT,__text) non-external _DHERecipient_ECDHE_P256
000000020c05aaf0 (__TEXT,__text) non-external _DHESender_ECDHE_P256
000000020c05b3d4 (__TEXT,__text) non-external _DSASign_ECDSA_P256
000000020c05b638 (__TEXT,__text) non-external _DSAVerify_ECDSA_P256
000000020c05b1b8 (__TEXT,__text) non-external _DerivePublicFromPrivate_ECP256
000000020c05b358 (__TEXT,__text) non-external _Digest_SHA256
000000020c066888 (__TEXT,__text) non-external (was a private external) _ECC65537CheckAndFix
000000020c066608 (__TEXT,__text) non-external (was a private external) _ECC65537GetParity
000000020c0d2c40 (__TEXT,__const) non-external _ECC65537_G
000000020c06f998 (__TEXT,__text) non-external (was a private external) _ECCFixThreadProc
000000020c08be34 (__TEXT,__text) non-external (was a private external) _GetLargeFileControls
000000020c08b3dc (__TEXT,__text) non-external (was a private external) _GetLargeFileControlsWithStreams
000000020c059e50 (__TEXT,__text) non-external _HKDFDerive
000000020c05b9d0 (__TEXT,__text) non-external _HMACDerive_SHA256
000000020c05b958 (__TEXT,__text) non-external _HMACFinal_SHA256
000000020c05b8a0 (__TEXT,__text) non-external _HMACInit_SHA256
000000020c05b92c (__TEXT,__text) non-external _HMACUpdate_SHA256
000000020c05baf4 (__TEXT,__text) non-external _HMACVerify_SHA256
000000020c067788 (__TEXT,__text) non-external (was a private external) _IDecoderStreamAbort
000000020c067538 (__TEXT,__text) non-external (was a private external) _IDecoderStreamCreate
000000020c067684 (__TEXT,__text) non-external (was a private external) _IDecoderStreamDestroy
000000020c067774 (__TEXT,__text) non-external (was a private external) _IDecoderStreamRead
000000020c0674f0 (__TEXT,__text) non-external (was a private external) _IDecoderStreamThreadProc
000000020c0739b0 (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFD
000000020c0735e4 (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFilename
000000020c073958 (__TEXT,__text) non-external (was a private external) _IFileStreamDestroy
000000020c073ad4 (__TEXT,__text) non-external (was a private external) _IFileStreamRead
000000020c067798 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamCreate
000000020c067db8 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamCreateWithBuffer
000000020c067d28 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamDestroy
000000020c067e54 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamRead
000000020c0747e4 (__TEXT,__text) non-external (was a private external) _IMemStreamAbort
000000020c074700 (__TEXT,__text) non-external (was a private external) _IMemStreamCreate
000000020c0747e0 (__TEXT,__text) non-external (was a private external) _IMemStreamDestroy
000000020c07476c (__TEXT,__text) non-external (was a private external) _IMemStreamRead
000000020c07340c (__TEXT,__text) non-external (was a private external) _IZeroStreamRead
000000020c08b2ec (__TEXT,__text) non-external (was a private external) _LargeFileConsumer
000000020c08acbc (__TEXT,__text) non-external (was a private external) _LargeFileWorker
000000020c0731d0 (__TEXT,__text) non-external (was a private external) _MappedBufferCreateWithFD
000000020c07316c (__TEXT,__text) non-external (was a private external) _MappedBufferDestroy
000000020c0733fc (__TEXT,__text) non-external (was a private external) _MappedBufferGetDataPtr
000000020c073404 (__TEXT,__text) non-external (was a private external) _MappedBufferGetDataSize
000000020c072ac8 (__TEXT,__text) non-external (was a private external) _MemBufferCreate
000000020c072c8c (__TEXT,__text) non-external (was a private external) _MemBufferDecreaseSize
000000020c072bd8 (__TEXT,__text) non-external (was a private external) _MemBufferDestroy
000000020c072d88 (__TEXT,__text) non-external (was a private external) _MemBufferFillFromBuffer
000000020c072e3c (__TEXT,__text) non-external (was a private external) _MemBufferFillFromIStream
000000020c072ef8 (__TEXT,__text) non-external (was a private external) _MemBufferFlushToOStream
000000020c072c30 (__TEXT,__text) non-external (was a private external) _MemBufferGetDataPtr
000000020c072c1c (__TEXT,__text) non-external (was a private external) _MemBufferGetDataSize
000000020c072c40 (__TEXT,__text) non-external (was a private external) _MemBufferGetFreePtr
000000020c072c24 (__TEXT,__text) non-external (was a private external) _MemBufferGetFreeSize
000000020c072b5c (__TEXT,__text) non-external (was a private external) _MemBufferIncreaseCapacity
000000020c072d10 (__TEXT,__text) non-external (was a private external) _MemBufferIncreaseSize
000000020c072fd8 (__TEXT,__text) non-external (was a private external) _MemBufferTransmit
000000020c073e14 (__TEXT,__text) non-external (was a private external) _OArchiveFileStreamCreate
000000020c0740d4 (__TEXT,__text) non-external (was a private external) _OArchiveFileStreamDestroy
000000020c0740e4 (__TEXT,__text) non-external (was a private external) _OArchiveFileStreamDestroyEx
000000020c0742f0 (__TEXT,__text) non-external (was a private external) _OArchiveFileStreamWrite
000000020c0747f4 (__TEXT,__text) non-external (was a private external) _OBufferedStreamCreate
000000020c0748d0 (__TEXT,__text) non-external (was a private external) _OBufferedStreamDestroy
000000020c074928 (__TEXT,__text) non-external (was a private external) _OBufferedStreamWrite
000000020c0707d0 (__TEXT,__text) non-external (was a private external) _OECCStreamCreate
000000020c0709d4 (__TEXT,__text) non-external (was a private external) _OECCStreamDestroy
000000020c070a20 (__TEXT,__text) non-external (was a private external) _OECCStreamGetDataPtr
000000020c070a38 (__TEXT,__text) non-external (was a private external) _OECCStreamGetDataSize
000000020c070a50 (__TEXT,__text) non-external (was a private external) _OECCStreamWrite
000000020c073c10 (__TEXT,__text) non-external (was a private external) _OFileStreamCreateWithFilename
000000020c073cf0 (__TEXT,__text) non-external (was a private external) _OFileStreamDestroy
000000020c073d40 (__TEXT,__text) non-external (was a private external) _OFileStreamWrite
000000020c07461c (__TEXT,__text) non-external (was a private external) _OMemStreamCreate
000000020c0746fc (__TEXT,__text) non-external (was a private external) _OMemStreamDestroy
000000020c074688 (__TEXT,__text) non-external (was a private external) _OMemStreamGetNWritten
000000020c074690 (__TEXT,__text) non-external (was a private external) _OMemStreamWrite
000000020c07343c (__TEXT,__text) non-external (was a private external) _ONullStreamWrite
000000020c0735a4 (__TEXT,__text) non-external (was a private external) _OSHA1StreamAbort
