00007ff800404918 (__TEXT,__text) external ___setregid
00007ff800404930 (__TEXT,__text) external ___setreuid
00007ff8003fbda0 (__TEXT,__text) external ___setrlimit
00007ff800404948 (__TEXT,__text) external ___setsgroups
00007ff8004013f0 (__TEXT,__text) external ___settid
00007ff800404960 (__TEXT,__text) external ___settid_with_pid
00007ff800404978 (__TEXT,__text) external ___settimeofday
00007ff800404990 (__TEXT,__text) external ___setwgroups
00007ff80040161c (__TEXT,__text) external ___sfi_ctl
00007ff8004049a8 (__TEXT,__text) external ___sfi_pidctl
00007ff8004049c0 (__TEXT,__text) external ___shared_region_check_np
00007ff8004049d8 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
00007ff8003fae88 (__TEXT,__text) external ___shm_open
00007ff8004049f0 (__TEXT,__text) external ___shmctl
00007ff800404a08 (__TEXT,__text) external ___shmsys
00007ff8003fea7c (__TEXT,__text) external ___sigaction
00007ff8003fc574 (__TEXT,__text) external ___sigaltstack
00007ff800403104 (__TEXT,__text) external ___sigreturn
00007ff800404a20 (__TEXT,__text) external ___sigsuspend
00007ff8003ff860 (__TEXT,__text) external ___sigsuspend_nocancel
00007ff800403134 (__TEXT,__text) external ___sigwait
00007ff8003fd054 (__TEXT,__text) external ___socketpair
00007ff800404a38 (__TEXT,__text) external ___stack_snapshot_with_config
00007ff8003fe0b4 (__TEXT,__text) external ___stat64_extended
00007ff800404a50 (__TEXT,__text) external ___stat_extended
00007ff8003fb6b8 (__TEXT,__text) external ___syscall
00007ff841bbc920 (__DATA,__common) external ___syscall_logger
00007ff8003fadd4 (__TEXT,__text) external ___sysctl
00007ff8003faf38 (__TEXT,__text) external ___sysctlbyname
00007ff800404a68 (__TEXT,__text) external ___telemetry
00007ff80040221c (__TEXT,__text) external ___terminate_with_payload
00007ff8003fb200 (__TEXT,__text) external ___thread_selfid
00007ff800404a80 (__TEXT,__text) external ___thread_selfusage
00007ff8003fb218 (__TEXT,__text) external ___ulock_wait
00007ff800404a98 (__TEXT,__text) external ___ulock_wait2
00007ff8003fb29c (__TEXT,__text) external ___ulock_wake
00007ff800404ab0 (__TEXT,__text) external ___umask_extended
00007ff8003fcb74 (__TEXT,__text) external ___unlink
00007ff8004018c8 (__TEXT,__text) external ___unlinkat
00007ff800404ac8 (__TEXT,__text) external ___vfork
00007ff8003ff7cc (__TEXT,__text) external ___wait4
00007ff800403a84 (__TEXT,__text) external ___wait4_nocancel
00007ff800404b20 (__TEXT,__text) external ___waitid_nocancel
00007ff800400d24 (__TEXT,__text) external ___work_interval_ctl
00007ff8003fb188 (__TEXT,__text) external ___workq_kernreturn
00007ff8003fb1a0 (__TEXT,__text) external ___workq_open
00007ff8003fcb00 (__TEXT,__text) external ___write_nocancel
00007ff800404b38 (__TEXT,__text) external ___writev_nocancel
00007ff841bbc910 (__DATA,__common) external __cpu_capabilities
00007ff841bbc90c (__DATA,__common) external __cpu_has_altivec
00007ff8438f6490 (__DATA_DIRTY,__data) non-external (was a private external) __current_pid
00007ff8438f6b58 (__DATA_DIRTY,__bss) non-external __dlsym
00007ff8003f9b18 (__TEXT,__text) external __exclaves_ctl_trap
00007ff8004063c7 (__TEXT,__text) non-external __execve_with_filter
00007ff8003ff878 (__TEXT,__text) external __exit
00007ff8003fe4fc (__TEXT,__text) external __get_cpu_capabilities
00007ff841bbc940 (__DATA,__bss) non-external __gethostuuid_callback
00007ff8004097ca (__TEXT,__text) external __getprivatesystemidentifier
00007ff800414276 (__TEXT,__text) external __host_page_size
00007ff8003fe4ea (__TEXT,__text) external __init_cpu_capabilities
00007ff800414ffe (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
00007ff800416073 (__TEXT,__text) external __kernelrpc_mach_port_allocate
00007ff800416b30 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
00007ff800415f8b (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
00007ff8004169f3 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
00007ff8003f9908 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
00007ff8004181dd (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
00007ff800417593 (__TEXT,__text) external __kernelrpc_mach_port_construct
00007ff8003f995c (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
00007ff800416278 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
00007ff8003f9914 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
00007ff800416194 (__TEXT,__text) external __kernelrpc_mach_port_destroy
00007ff8004176cf (__TEXT,__text) external __kernelrpc_mach_port_destruct
00007ff8003f9968 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
00007ff800417022 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
00007ff800417372 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
00007ff8003f9950 (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
00007ff800401d29 (__TEXT,__text) external __kernelrpc_mach_port_extract_right
00007ff800402568 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
00007ff8003f9a10 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
00007ff8003fddba (__TEXT,__text) external __kernelrpc_mach_port_get_context
00007ff8003fc3a8 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
00007ff800418080 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
00007ff8004036d3 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
00007ff800416d66 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
00007ff8004177bb (__TEXT,__text) external __kernelrpc_mach_port_guard
00007ff8003f9a1c (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
00007ff800417bc4 (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
00007ff80041728a (__TEXT,__text) external __kernelrpc_mach_port_insert_member
00007ff8003f9944 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
00007ff80041680d (__TEXT,__text) external __kernelrpc_mach_port_insert_right
00007ff8003f9938 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
