00000001db73def8 (__DATA_DIRTY,__data) external __current_pid
00000001db73e5a0 (__DATA_DIRTY,__bss) non-external __dlsym
000000018039dc80 (__TEXT,__text) non-external __execve_with_filter
00000001803950f8 (__TEXT,__text) external __exit
0000000180393b20 (__TEXT,__text) external __get_cpu_capabilities
00000001d9214cb0 (__DATA,__bss) non-external __gethostuuid_callback
00000001803a1438 (__TEXT,__text) external __getprivatesystemidentifier
00000001803ad59c (__TEXT,__text) external __host_page_size
0000000180393b1c (__TEXT,__text) external __init_cpu_capabilities
00000001803ae778 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
00000001803afb4c (__TEXT,__text) external __kernelrpc_mach_port_allocate
00000001803b0818 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
00000001803afa2c (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
00000001803b06a4 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
000000018038dc0c (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
00000001803b23d4 (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
00000001803b149c (__TEXT,__text) external __kernelrpc_mach_port_construct
000000018038dc60 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
00000001803afdc4 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
000000018038dc18 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
00000001803afca4 (__TEXT,__text) external __kernelrpc_mach_port_destroy
00000001803b1610 (__TEXT,__text) external __kernelrpc_mach_port_destruct
000000018038dc6c (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
00000001803b0e1c (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
00000001803b120c (__TEXT,__text) external __kernelrpc_mach_port_extract_member
000000018038dc54 (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
0000000180397b8c (__TEXT,__text) external __kernelrpc_mach_port_extract_right
00000001803985b8 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
000000018038dd14 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
0000000180393234 (__TEXT,__text) external __kernelrpc_mach_port_get_context
0000000180391204 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
00000001803b21f8 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
0000000180399a04 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
00000001803b0ac4 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
00000001803b1730 (__TEXT,__text) external __kernelrpc_mach_port_guard
000000018038dd20 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
00000001803b1c20 (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
00000001803b10ec (__TEXT,__text) external __kernelrpc_mach_port_insert_member
000000018038dc48 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
00000001803b0454 (__TEXT,__text) external __kernelrpc_mach_port_insert_right
000000018038dc3c (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
00000001803b20a0 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
00000001803b0f84 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
00000001803b132c (__TEXT,__text) external __kernelrpc_mach_port_kobject
00000001803b1e68 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
00000001803afee4 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
000000018038dc24 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
00000001803b0334 (__TEXT,__text) external __kernelrpc_mach_port_move_member
000000018038dc30 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
00000001803af748 (__TEXT,__text) external __kernelrpc_mach_port_names
00000001803b0004 (__TEXT,__text) external __kernelrpc_mach_port_peek
00000001803af90c (__TEXT,__text) external __kernelrpc_mach_port_rename
0000000180391d54 (__TEXT,__text) external __kernelrpc_mach_port_request_notification
000000018038de10 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
0000000180390738 (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
00000001803998e0 (__TEXT,__text) external __kernelrpc_mach_port_set_context
00000001803b0214 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
