00007ff801de9ba1 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
00007ff801d9d1b0 (__TEXT,__text) non-external (was a private external) ___printf_comp
00007ff801d9db47 (__TEXT,__text) non-external (was a private external) ___printf_exec
00007ff801d9eb8c (__TEXT,__text) non-external (was a private external) ___printf_flush
00007ff801dcc9f1 (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
00007ff801d9e3d4 (__TEXT,__text) non-external (was a private external) ___printf_out
00007ff801ddf223 (__TEXT,__text) non-external (was a private external) ___printf_pad
00007ff801d9e0bb (__TEXT,__text) non-external (was a private external) ___printf_puts
00007ff801ddecf2 (__TEXT,__text) non-external (was a private external) ___printf_render_chr
00007ff801dddab0 (__TEXT,__text) non-external (was a private external) ___printf_render_errno
00007ff801dddbb7 (__TEXT,__text) non-external (was a private external) ___printf_render_float
00007ff801de9a27 (__TEXT,__text) non-external ___printf_render_float.cold.1
00007ff801dde6ea (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
00007ff801d9e459 (__TEXT,__text) non-external (was a private external) ___printf_render_int
00007ff801de9a8e (__TEXT,__text) non-external ___printf_render_int.cold.1
00007ff801de9ab1 (__TEXT,__text) non-external ___printf_render_int.cold.2
00007ff801ddf2dd (__TEXT,__text) non-external (was a private external) ___printf_render_n
00007ff801ddf2ad (__TEXT,__text) non-external (was a private external) ___printf_render_pct
00007ff801dde9a7 (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
00007ff801ddea33 (__TEXT,__text) non-external (was a private external) ___printf_render_quote
00007ff801d9e141 (__TEXT,__text) non-external (was a private external) ___printf_render_str
00007ff801ddee20 (__TEXT,__text) non-external (was a private external) ___printf_render_time
00007ff801ddf120 (__TEXT,__text) non-external (was a private external) ___printf_render_vis
00007ff801d950a0 (__TEXT,__text) non-external (was a private external) ___private_getcwd
00007ff8438c0dc0 (__DATA_DIRTY,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
00007ff801db67ad (__TEXT,__text) external ___put_page
00007ff801dec58f (__TEXT,__const) non-external (was a private external) ___puts_null__
00007ff801de037d (__TEXT,__text) non-external (was a private external) ___pututxline
00007ff801d7ddaa (__TEXT,__text) external ___quorem_D2A
00007ff801d92cdf (__TEXT,__text) external ___ratio_D2A
00007ff801db7385 (__TEXT,__text) external ___rec_close
00007ff801db767c (__TEXT,__text) external ___rec_delete
00007ff801db778c (__TEXT,__text) external ___rec_dleaf
00007ff801db810f (__TEXT,__text) external ___rec_fd
00007ff801db7bf3 (__TEXT,__text) external ___rec_fmap
00007ff801db7985 (__TEXT,__text) external ___rec_fpipe
00007ff801db78a1 (__TEXT,__text) external ___rec_get
00007ff801db842c (__TEXT,__text) external ___rec_iput
